,구,동,노인정 수
0,마산합포구,가포동,3
1,마산합포구,교방동,12
2,마산합포구,구산면,30
3,마산합포구,문화동,13
4,마산합포구,반월중앙동,16
5,마산합포구,산호동,11
6,마산합포구,오동동,21
7,마산합포구,완월동,10
8,마산합포구,월영동,33
9,마산합포구,자산동,14
10,마산합포구,진동면,33
11,마산합포구,진북면,30
12,마산합포구,진전면,45
13,마산합포구,합포동,10
14,마산합포구,현동,13
15,마산회원구,구암1동,7
16,마산회원구,구암2동,10
17,마산회원구,내서읍,63
18,마산회원구,봉암동,7
19,마산회원구,석전동,15
20,마산회원구,양덕1동,7
21,마산회원구,양덕2동,20
22,마산회원구,합성1동,8
23,마산회원구,합성2동,5
24,마산회원구,회성동,10
25,마산회원구,회원1동,8
26,마산회원구,회원2동,12
27,성산구,가음정동,19
28,성산구,반송동,12
29,성산구,사파동,20
30,성산구,상남동,9
31,성산구,성주동,12
32,성산구,웅남동,10
33,성산구,중앙동,13
34,의창구,대산면,50
35,의창구,동읍,66
36,의창구,명곡동,12
37,의창구,봉림동,15
38,의창구,북면,65
39,의창구,용지동,13
40,의창구,의창동,16
41,의창구,팔룡동,15
42,진해구,경화동,9
43,진해구,덕산동,7
44,진해구,병암동,5
45,진해구,석동,12
46,진해구,여좌동,15
47,진해구,웅동1동,16
48,진해구,웅동2동,24
49,진해구,웅천동,22
50,진해구,이동,8
51,진해구,자은동,16
52,진해구,충무동,21
53,진해구,태백동,10
54,진해구,풍호동,19
